City,Raid Location,Friendly Name,Longitude,Latitude,Map Link
Redmond,Cleveland Fountain,Cleveland Fountain,47.673667,-122.125595,"https://www.google.com/maps/dir/?api=1&destination=47.673667,-122.1255950"
Redmond,Gridlock Light Sculpture,Gridlock,47.673298,-122.125256,"https://www.google.com/maps/dir/?api=1&destination=47.673298,-122.1252560"
Redmond,Painted Parking Lot,Painted Parking Lot,47.672712,-122.124617,"https://www.google.com/maps/dir/?api=1&destination=47.672712,-122.1246170"
Redmond,Redmond Town Center Fish Statue,Farmers Market,47.671892,-122.124425,"https://www.google.com/maps/dir/?api=1&destination=47.671892,-122.1244250"
Redmond,Redmond Clock Tower,Clock Tower,47.674170,-122.123056,"https://www.google.com/maps/dir/?api=1&destination=47.674170,-122.1230560"
Redmond,Victors Coffee Co. and Rosters,Victors Coffeeshop,47.674577,-122.121900,"https://www.google.com/maps/dir/?api=1&destination=47.674577,-122.1219000"
Redmond,Redmond's Erratic,Redmond Erratic,47.671955,-122.119251,"https://www.google.com/maps/dir/?api=1&destination=47.671955,-122.1192510"
Redmond,Kids Playing Baseball Mural,Mattress Firm,47.672620,-122.116819,"https://www.google.com/maps/dir/?api=1&destination=47.672620,-122.1168190"
Redmond,BJ's Brewmural,BJs Brewhouse,47.668914,-122.119748,"https://www.google.com/maps/dir/?api=1&destination=47.668914,-122.1197480"
Redmond,Mural (Wells Fargo),Wells Fargo,47.678650,-122.127309,"https://www.google.com/maps/dir/?api=1&destination=47.678650,-122.1273090"
Redmond,Wisdom Seekers in Redmond,Redmond Library,47.678799,-122.128532,"https://www.google.com/maps/dir/?api=1&destination=47.678799,-122.1285320"
Redmond,Luke McRedmond's Paired Beavers,Luke McRedmond,47.673250,-122.132160,"https://www.google.com/maps/dir/?api=1&destination=47.673250,-122.1321600"
Redmond,Soulfood Books and Cafe,Soul Foods,47.675219,-122.130386,"https://www.google.com/maps/dir/?api=1&destination=47.675219,-122.1303860"
Redmond,West Ironcycle,Ben Franklin,47.675691,-122.130123,"https://www.google.com/maps/dir/?api=1&destination=47.675691,-122.1301230"
Redmond,Hunting Fox,City Hall,47.678920,-122.130520,"https://www.google.com/maps/dir/?api=1&destination=47.678920,-122.1305200"
Redmond,Weiner Elephants,Redmond PD,47.680386,-122.128889,"https://www.google.com/maps/dir/?api=1&destination=47.680386,-122.1288890"
Redmond,Portal II,Portal 2,47.680447,-122.131723,"https://www.google.com/maps/dir/?api=1&destination=47.680447,-122.1317230"
Redmond,The Last Test,Last Test,47.682691,-122.132021,"https://www.google.com/maps/dir/?api=1&destination=47.682691,-122.1320210"
Redmond,Community Rockstars,Community Rockstars,47.683612,-122.132734,"https://www.google.com/maps/dir/?api=1&destination=47.683612,-122.1327340"
Redmond,Redmond Twist,Evergreen,47.681979,-122.123692,"https://www.google.com/maps/dir/?api=1&destination=47.681979,-122.1236920"
Redmond,Mysterious Hatch,Reservoir Park,47.685378,-122.122394,"https://www.google.com/maps/dir/?api=1&destination=47.685378,-122.1223940"
Redmond,Nike Park,Nike Park,47.683823,-122.110841,"https://www.google.com/maps/dir/?api=1&destination=47.683823,-122.1108410"
Redmond,St. Jude Walking Trail,St Judes,47.693495,-122.116883,"https://www.google.com/maps/dir/?api=1&destination=47.693495,-122.1168830"
Redmond,Redmond Meadow Park,Meadow Park,47.695703,-122.126550,"https://www.google.com/maps/dir/?api=1&destination=47.695703,-122.1265500"
Redmond,Leaf Inlay in Sidewalk,Leaf Inlay,47.689362,-122.114435,"https://www.google.com/maps/dir/?api=1&destination=47.689362,-122.1144350"
Redmond,The Church Of Jesus Christ Of Latter-Day Saints (Hartman Park),LDS (Hartman Park),47.690909,-122.110964,"https://www.google.com/maps/dir/?api=1&destination=47.690909,-122.1109640"
Redmond,Hartman Park,Hartman Park Sign,47.691002,-122.110177,"https://www.google.com/maps/dir/?api=1&destination=47.691002,-122.1101770"
Redmond,Jim Palmquist Memorial Plaque,Hartman Park (Baseball),47.692436,-122.107328,"https://www.google.com/maps/dir/?api=1&destination=47.692436,-122.1073280"
Redmond,Redmond Pool,Redmond Pool,47.692516,-122.106308,"https://www.google.com/maps/dir/?api=1&destination=47.692516,-122.1063080"
Redmond,Bear Creek Water Tower,Bear Creek Water Tower,47.687974,-122.103674,"https://www.google.com/maps/dir/?api=1&destination=47.687974,-122.1036740"
Redmond,Education Hill Pig,Education Hill Pig,47.674945,-122.111546,"https://www.google.com/maps/dir/?api=1&destination=47.674945,-122.1115460"
Redmond,Wild Silhouettes,Avondale Bus Stop,47.678821,-122.104461,"https://www.google.com/maps/dir/?api=1&destination=47.678821,-122.1044610"
Redmond,Ashford Park Gazebo,Ashford Park Gazebo,47.682791,-122.100218,"https://www.google.com/maps/dir/?api=1&destination=47.682791,-122.1002180"
Redmond,Sunset Grove Park Gazebo,Sunset Grove Gazebo,47.685978,-122.096297,"https://www.google.com/maps/dir/?api=1&destination=47.685978,-122.0962970"
Redmond,Anderson Park,Anderson Park,47.673740,-122.116119,"https://www.google.com/maps/dir/?api=1&destination=47.673740,-122.1161190"
Redmond,Find shiny deals at Sprint,Redmond Sprint,47.670882,-122.114047,"https://www.google.com/maps/dir/?api=1&destination=47.670882,-122.1140470"
