City,Raid Location,Friendly Name,Longitude,Latitude,Map Link
Lake Hills,Wood Ridge Open Loop Trail Marker,Wood Ridge Open Loop Trail Marker,47.595555,-122.1694770,"https://www.google.com/maps/dir/?api=1&destination=47.595555,-122.1694770"
Lake Hills,Woodridge Watertower,Woodridge Watertower,47.593469,-122.1738720,"https://www.google.com/maps/dir/?api=1&destination=47.593469,-122.1738720"
Lake Hills,Norwood Village Park,Norwood Village Park,47.589681,-122.1744140,"https://www.google.com/maps/dir/?api=1&destination=47.589681,-122.1744140"
Lake Hills,Bronze Bears,Bronze Bears,47.582255,-122.1719600,"https://www.google.com/maps/dir/?api=1&destination=47.582255,-122.1719600"
Lake Hills,Catalina Fountain,Catalina Fountain,47.591469,-122.1638540,"https://www.google.com/maps/dir/?api=1&destination=47.591469,-122.1638540"
Lake Hills,Printed Circuits,Printed Circuits,47.587231,-122.1631270,"https://www.google.com/maps/dir/?api=1&destination=47.587231,-122.1631270"
Lake Hills,Seattle Humane Society,Seattle Humane Society,47.580630,-122.1630570,"https://www.google.com/maps/dir/?api=1&destination=47.580630,-122.1630570"
Lake Hills,Richards Valley Trail Head,Richards Valley Trail Head,47.592448,-122.1589470,"https://www.google.com/maps/dir/?api=1&destination=47.592448,-122.1589470"
Lake Hills,Skyridge Park,Skyridge Park,47.592375,-122.1582840,"https://www.google.com/maps/dir/?api=1&destination=47.592375,-122.1582840"
Lake Hills,Lake to Lake Trail Marker (Kelsey Creek),Lake to Lake Trail Marker (Kelsey Creek),47.605854,-122.1621620,"https://www.google.com/maps/dir/?api=1&destination=47.605854,-122.1621620"
Lake Hills,Fraser House,Fraser House,47.603164,-122.1640450,"https://www.google.com/maps/dir/?api=1&destination=47.603164,-122.1640450"
Lake HIlls,Lake 2 Lake Marker,Lake 2 Lake Marker,47.605135,-122.1590910,"https://www.google.com/maps/dir/?api=1&destination=47.605135,-122.1590910"
Lake Hills,Kelsey Creek Farm Trail Marker,Kelsey Creek Farm Trail Marker,47.602041,-122.1590970,"https://www.google.com/maps/dir/?api=1&destination=47.602041,-122.1590970"
